timestamp,speed,vehicle_count,road_length,traffic_density,congestion_level,source
2022-01-01T00:00:00,50.23029856408026,50590,1.0,1007.16,high,historical_dataset
2022-01-01T00:00:00,29.377124707590273,30825,1.0,1049.29,high,historical_dataset
2022-01-01T00:00:00,54.47439821046639,7399,1.0,135.83,low,historical_dataset
2022-01-01T00:00:00,43.817610389486106,60874,1.0,1389.26,high,historical_dataset
2022-01-01T00:00:00,41.11676288840868,57292,1.0,1393.4,high,historical_dataset
2022-01-01T00:00:00,34.241962549718146,47848,1.0,1397.35,high,historical_dataset
2022-01-01T00:00:00,29.982429564154636,36574,1.0,1219.85,high,historical_dataset
2022-01-01T00:00:00,38.45517943888766,25379,1.0,659.96,medium,historical_dataset
2022-01-01T00:00:00,35.039373044314026,25022,1.0,714.11,medium,historical_dataset
2022-01-01T00:00:00,56.90455625809979,31760,1.0,558.13,medium,historical_dataset
2022-01-01T00:00:00,26.144876261711513,38446,1.0,1470.5,high,historical_dataset
2022-01-01T00:00:00,47.96984673233186,15043,1.0,313.59,low,historical_dataset
2022-01-02T00:00:00,52.87084603742452,22050,1.0,417.05,low,historical_dataset
2022-01-02T00:00:00,26.428424435837172,37877,1.0,1433.19,high,historical_dataset
2022-01-02T00:00:00,43.56398794323472,29106,1.0,668.12,medium,historical_dataset
2022-01-02T00:00:00,37.57207490980107,53217,1.0,1416.4,high,historical_dataset
2022-01-02T00:00:00,45.889505969673664,37584,1.0,819.01,medium,historical_dataset
2022-01-02T00:00:00,53.52433334796224,16676,1.0,311.56,low,historical_dataset
2022-01-02T00:00:00,51.5135098647949,37509,1.0,728.14,medium,historical_dataset
2022-01-02T00:00:00,34.756123586657104,6758,1.0,194.44,low,historical_dataset
2022-01-02T00:00:00,31.1468640313824,30209,1.0,969.89,medium,historical_dataset
2022-01-02T00:00:00,40.06999065341167,20375,1.0,508.49,medium,historical_dataset
2022-01-02T00:00:00,32.794298957181454,15636,1.0,476.79,low,historical_dataset
2022-01-03T00:00:00,38.86905317091622,23457,1.0,603.49,medium,historical_dataset
2022-01-03T00:00:00,33.52942618497861,38925,1.0,1160.92,high,historical_dataset
2022-01-03T00:00:00,40.226182694246795,9154,1.0,227.56,low,historical_dataset
2022-01-03T00:00:00,36.727690564476774,24968,1.0,679.81,medium,historical_dataset
2022-01-03T00:00:00,27.326524371119504,51459,1.0,1883.12,high,historical_dataset
2022-01-03T00:00:00,36.50393786476208,28481,1.0,780.22,medium,historical_dataset
2022-01-03T00:00:00,40.30824347895295,10179,1.0,252.53,low,historical_dataset
2022-01-04T00:00:00,41.228499323474985,46199,1.0,1120.56,high,historical_dataset
2022-01-04T00:00:00,52.55340842443204,56242,1.0,1070.19,high,historical_dataset
2022-01-04T00:00:00,24.607678222398995,20450,1.0,831.04,medium,historical_dataset
2022-01-04T00:00:00,51.69672548830039,13391,1.0,259.03,low,historical_dataset
2022-01-04T00:00:00,29.409745067661433,28369,1.0,964.61,medium,historical_dataset
2022-01-04T00:00:00,42.57507710047305,31228,1.0,733.48,medium,historical_dataset
2022-01-04T00:00:00,37.03463635867223,34180,1.0,922.92,medium,historical_dataset
2022-01-04T00:00:00,40.38910043684659,43569,1.0,1078.73,high,historical_dataset
2022-01-04T00:00:00,39.54830800668156,16342,1.0,413.22,low,historical_dataset
2022-01-04T00:00:00,34.979532763712655,19306,1.0,551.92,medium,historical_dataset
2022-01-04T00:00:00,39.23108130476851,16012,1.0,408.15,low,historical_dataset
2022-01-05T00:00:00,50.80134095075202,49952,1.0,983.28,medium,historical_dataset
2022-01-05T00:00:00,20.0,33970,1.0,1698.5,high,historical_dataset
2022-01-05T00:00:00,57.473270552317246,17018,1.0,296.1,low,historical_dataset
2022-01-05T00:00:00,25.212362842176926,58920,1.0,2336.95,high,historical_dataset
2022-01-05T00:00:00,34.44415329089545,46963,1.0,1363.45,high,historical_dataset
2022-01-05T00:00:00,55.94191518470949,18111,1.0,323.75,low,historical_dataset
2022-01-05T00:00:00,42.39264835108181,22491,1.0,530.54,medium,historical_dataset
2022-01-05T00:00:00,23.934740912583298,38924,1.0,1626.26,high,historical_dataset
2022-01-05T00:00:00,20.0,25165,1.0,1258.25,high,historical_dataset
